order_id,customer_id,order_date,status,payment_method,shipping_fee,discount_amount,coupon_code,ship_city,delivery_days
77,700,2025-04-03 04:21:00,delivered,pix,8.99,0.0,,Recife,5.0
78,82,2025-12-30 21:24:00,delivered,credit_card,0.0,7.65,WELCOME10,Rio de Janeiro,4.0
79,313,2025-08-03 20:31:00,delivered,credit_card,4.99,0.0,,Curitiba,2.0
80,1121,2024-03-30 15:06:00,shipped,pix,4.99,11.12,,Brasilia,8.0
81,140,2024-10-13 18:23:00,delivered,credit_card,8.99,14.78,,Salvador,6.0
82,529,2025-04-29 08:48:00,cancelled,credit_card,4.99,0.54,,Brasilia,
83,254,2025-08-05 15:02:00,delivered,credit_card,4.99,1.44,,Fortaleza,6.0
84,265,2025-03-27 11:32:00,delivered,boleto,14.99,6.37,,Campinas,6.0
85,922,2024-09-26 21:02:00,shipped,credit_card,4.99,12.06,,Campinas,1.0
86,17,2024-06-07 03:18:00,delivered,credit_card,4.99,0.0,WELCOME10,Rio de Janeiro,7.0
87,457,2025-02-01 14:42:00,delivered,credit_card,0.0,0.0,,Campinas,2.0
88,953,2024-04-21 02:11:00,delivered,pix,8.99,10.43,VIP20,Recife,2.0
89,409,2025-02-15 10:04:00,delivered,pix,4.99,3.29,WELCOME10,Belo Horizonte,6.0
90,976,2024-04-27 08:29:00,processing,credit_card,4.99,15.2,,Brasilia,1.0
91,438,2024-11-23 18:02:00,delivered,credit_card,8.99,0.0,,Recife,7.0
92,970,2024-08-06 01:13:00,shipped,debit_card,0.0,2.95,FREESHIP,Curitiba,1.0
93,517,2025-10-12 05:05:00,delivered,credit_card,0.0,0.11,,Curitiba,3.0
94,925,2025-03-05 16:13:00,processing,credit_card,4.99,7.35,VIP20,Recife,5.0
95,701,2026-02-10 09:10:00,delivered,paypal,14.99,15.17,FREESHIP,Salvador,4.0
96,1097,2025-12-06 05:44:00,delivered,pix,0.0,2.3,,Recife,7.0
97,21,2025-07-28 19:12:00,delivered,credit_card,4.99,15.47,WELCOME10,Brasilia,2.0
98,664,2025-11-11 23:47:00,processing,credit_card,,10.13,,Brasilia,6.0
99,1023,2024-11-20 03:50:00,cancelled,boleto,8.99,0.0,FREESHIP,Campinas,
100,8,2025-04-06 04:40:00,delivered,credit_card,4.99,14.17,WELCOME10,Sao Paulo,8.0
101,448,2026-02-02 06:26:00,delivered,credit_card,14.99,0.57,,Belo Horizonte,9.0
102,713,2024-08-02 06:43:00,delivered,pix,0.0,19.29,,Curitiba,1.0
103,629,2025-05-29 03:44:00,delivered,debit_card,0.0,5.2,SPRING15,Recife,8.0
104,721,2024-12-26 17:27:00,delivered,credit_card,8.99,14.31,VIP20,Brasilia,9.0
105,940,2025-03-14 11:11:00,delivered,credit_card,8.99,0.0,,Recife,9.0
106,584,2025-11-06 22:43:00,processing,credit_card,4.99,0.0,,Rio de Janeiro,7.0
107,180,2024-04-16 02:41:00,delivered,debit_card,14.99,20.85,,Salvador,1.0
108,1116,2024-04-12 20:28:00,processing,credit_card,4.99,,,Curitiba,9.0
109,862,2024-08-04 07:49:00,delivered,boleto,8.99,8.09,,Salvador,8.0
110,255,2024-12-25 14:26:00,delivered,boleto,,0.0,,Belo Horizonte,7.0
111,1040,2024-10-17 08:56:00,shipped,pix,4.99,7.1,,Recife,5.0
112,495,2024-01-05 13:02:00,delivered,boleto,0.0,6.1,SPRING15,Campinas,1.0
113,651,2024-12-09 05:36:00,delivered,credit_card,4.99,9.95,,Belo Horizonte,7.0
114,806,2024-02-22 18:27:00,delivered,credit_card,4.99,5.92,WELCOME10,Florianopolis,3.0
115,356,2025-02-16 10:33:00,processing,pix,8.99,0.0,SPRING15,Brasilia,3.0
116,1033,2024-05-01 20:36:00,processing,debit_card,8.99,1.6,,Curitiba,7.0
117,1133,2024-06-11 10:13:00,returned,credit_card,0.0,15.0,VIP20,Goiania,2.0
118,314,2024-01-29 19:45:00,delivered,credit_card,8.99,0.02,,Recife,9.0
119,52,2026-01-30 23:08:00,delivered,credit_card,0.0,1.5,SPRING15,Brasilia,8.0
120,491,2025-10-30 07:19:00,delivered,boleto,8.99,13.4,WELCOME10,Recife,4.0
121,534,2025-11-06 01:17:00,processing,paypal,8.99,12.77,WELCOME10,Goiania,2.0
122,1187,2024-04-15 03:29:00,processing,debit_card,8.99,11.03,,Brasilia,2.0
123,191,2024-03-20 15:54:00,delivered,debit_card,4.99,18.74,WELCOME10,Rio de Janeiro,6.0
124,1006,2024-01-23 13:04:00,delivered,paypal,8.99,8.71,,Goiania,8.0
125,860,2025-01-19 10:40:00,delivered,credit_card,4.99,15.52,VIP20,Sao Paulo,8.0
126,366,2025-11-06 18:40:00,delivered,pix,14.99,7.28,FREESHIP,Porto Alegre,1.0
127,992,2025-09-20 19:34:00,processing,credit_card,14.99,0.16,,Rio de Janeiro,1.0
128,395,2025-09-12 00:34:00,delivered,debit_card,8.99,0.0,,Belo Horizonte,1.0
129,748,2024-04-27 06:01:00,shipped,credit_card,4.99,5.53,WELCOME10,Florianopolis,6.0
130,260,2024-10-01 08:30:00,delivered,boleto,8.99,14.75,,Campinas,4.0
131,603,2025-04-23 23:51:00,delivered,pix,14.99,0.0,,Belo Horizonte,8.0
132,513,2024-06-26 06:43:00,delivered,credit_card,4.99,6.86,VIP20,Fortaleza,5.0
133,639,2024-06-18 06:46:00,cancelled,credit_card,4.99,3.07,FREESHIP,Recife,
134,557,2024-11-22 19:06:00,cancelled,pix,0.0,9.19,,Fortaleza,
135,723,2025-01-17 20:52:00,cancelled,credit_card,0.0,0.0,VIP20,Sao Paulo,
136,1048,2024-09-16 18:26:00,delivered,pix,4.99,7.57,SPRING15,Campinas,5.0
137,722,2025-02-11 00:07:00,shipped,credit_card,4.99,0.0,,Brasilia,3.0
138,733,2024-09-08 02:13:00,delivered,boleto,0.0,10.45,WELCOME10,Rio de Janeiro,6.0
139,20,2024-11-22 22:00:00,returned,pix,8.99,5.18,,Porto Alegre,6.0
140,477,2025-07-29 02:24:00,delivered,pix,0.0,26.6,,Rio de Janeiro,5.0
141,1149,2024-10-11 22:38:00,processing,paypal,14.99,11.07,,Goiania,2.0
142,892,2024-11-21 10:12:00,processing,paypal,0.0,5.74,,Sao Paulo,4.0
143,563,2025-03-07 03:07:00,shipped,credit_card,0.0,0.0,,Recife,8.0
144,485,2025-08-13 00:18:00,delivered,boleto,4.99,0.24,SPRING15,Sao Paulo,1.0
145,946,2024-10-18 04:53:00,delivered,boleto,0.0,0.0,SPRING15,Campinas,7.0
146,81,2024-12-11 20:01:00,shipped,pix,8.99,8.14,,Recife,2.0
147,617,2024-10-08 10:48:00,delivered,boleto,14.99,4.38,FREESHIP,Porto Alegre,6.0
148,1012,2025-09-19 01:25:00,delivered,pix,8.99,13.27,,Goiania,5.0
149,249,2025-01-17 19:06:00,delivered,pix,0.0,11.35,,Brasilia,1.0
150,216,2024-11-26 22:46:00,delivered,paypal,4.99,9.29,,Florianopolis,7.0
151,756,2025-07-04 00:59:00,delivered,boleto,14.99,19.81,,Rio de Janeiro,1.0
152,99,2024-11-07 02:16:00,shipped,paypal,8.99,3.81,FREESHIP,Recife,6.0
153,553,2025-12-16 05:59:00,delivered,paypal,8.99,0.43,FREESHIP,Porto Alegre,3.0
154,304,2026-02-10 18:56:00,returned,credit_card,8.99,14.98,FREESHIP,Campinas,7.0
155,1081,2024-09-03 18:30:00,delivered,pix,4.99,6.55,,Florianopolis,8.0
156,989,2024-08-19 02:16:00,cancelled,credit_card,4.99,1.59,,Porto Alegre,
157,1144,2024-09-05 21:41:00,delivered,boleto,0.0,10.02,SPRING15,Salvador,4.0
158,124,2024-08-05 00:42:00,returned,pix,4.99,0.0,,Salvador,4.0
159,215,2024-12-14 06:52:00,processing,pix,4.99,14.26,,Curitiba,9.0
160,930,2025-11-02 04:54:00,processing,credit_card,14.99,11.47,WELCOME10,Porto Alegre,9.0
161,790,2025-04-08 19:32:00,delivered,pix,4.99,0.0,WELCOME10,Curitiba,4.0
162,867,2024-06-17 21:19:00,shipped,credit_card,4.99,0.0,SPRING15,Florianopolis,2.0
163,226,2024-09-03 00:57:00,delivered,credit_card,4.99,,,Goiania,8.0
164,1088,2025-04-08 11:16:00,delivered,pix,8.99,2.84,WELCOME10,Recife,2.0
165,435,2024-06-03 12:32:00,delivered,pix,4.99,8.06,,Curitiba,7.0
166,758,2024-04-10 01:41:00,processing,debit_card,4.99,0.0,,Curitiba,7.0
167,388,2025-02-16 05:38:00,delivered,credit_card,8.99,16.52,,Recife,5.0
168,224,2025-11-28 01:41:00,cancelled,credit_card,0.0,0.0,VIP20,Rio de Janeiro,
169,109,2024-02-06 18:17:00,shipped,credit_card,0.0,13.15,,Belo Horizonte,4.0
170,829,2025-02-05 12:06:00,delivered,pix,0.0,1.68,WELCOME10,Curitiba,4.0
171,1015,2024-07-29 05:50:00,processing,credit_card,8.99,0.0,VIP20,Fortaleza,4.0
172,590,2026-01-21 00:06:00,delivered,paypal,8.99,3.74,FREESHIP,Salvador,3.0
173,626,2025-12-05 07:10:00,delivered,pix,8.99,3.43,VIP20,Porto Alegre,6.0
174,933,2024-05-25 00:42:00,shipped,paypal,0.0,,,Curitiba,8.0
175,158,2024-06-23 21:48:00,processing,pix,14.99,18.11,SPRING15,Fortaleza,1.0
176,3,2025-05-15 07:30:00,delivered,debit_card,8.99,,,Goiania,2.0
177,596,2024-08-21 16:32:00,processing,credit_card,8.99,8.07,WELCOME10,Rio de Janeiro,3.0
178,624,2026-01-23 10:28:00,delivered,paypal,4.99,14.6,,Curitiba,8.0
179,997,2024-09-16 11:29:00,delivered,credit_card,0.0,9.23,SPRING15,Porto Alegre,1.0
180,1061,2025-11-10 19:30:00,delivered,pix,0.0,0.0,,Goiania,2.0
181,43,2024-05-31 13:54:00,delivered,debit_card,4.99,2.5,FREESHIP,Salvador,4.0
182,64,2024-09-07 18:47:00,delivered,credit_card,8.99,11.27,,Belo Horizonte,7.0
183,774,2025-10-16 03:17:00,delivered,credit_card,8.99,6.7,FREESHIP,Campinas,9.0
184,359,2024-09-28 21:22:00,delivered,pix,4.99,7.52,FREESHIP,Curitiba,6.0
185,634,2024-07-14 01:37:00,delivered,pix,8.99,2.75,SPRING15,Rio de Janeiro,9.0
186,888,2025-04-10 18:50:00,delivered,credit_card,8.99,7.24,,Salvador,6.0
187,302,2025-04-22 21:09:00,processing,debit_card,0.0,9.16,,Goiania,9.0
188,334,2024-11-06 15:18:00,delivered,credit_card,14.99,,,Sao Paulo,2.0
189,446,2024-10-16 18:07:00,shipped,credit_card,8.99,,,Porto Alegre,1.0
190,2,2024-02-21 08:08:00,delivered,credit_card,4.99,2.98,WELCOME10,Campinas,6.0
191,1149,2024-06-07 02:45:00,delivered,pix,0.0,0.0,,Recife,5.0
192,1199,2024-03-23 09:14:00,delivered,pix,14.99,11.56,,Goiania,1.0
193,792,2025-03-08 12:57:00,delivered,boleto,4.99,15.44,,Fortaleza,2.0
194,637,2024-06-26 18:27:00,returned,credit_card,0.0,8.39,VIP20,Belo Horizonte,6.0
195,513,2024-05-18 13:35:00,delivered,pix,8.99,19.42,,Fortaleza,4.0
196,945,2025-07-12 05:24:00,delivered,boleto,0.0,0.0,,Florianopolis,7.0
197,642,2025-05-30 21:45:00,delivered,credit_card,0.0,0.0,,Recife,6.0
198,841,2025-04-17 00:58:00,delivered,credit_card,0.0,3.49,,Rio de Janeiro,9.0
199,288,2025-09-21 09:50:00,delivered,boleto,0.0,0.0,SPRING15,Fortaleza,4.0
200,1113,2025-08-02 09:03:00,delivered,credit_card,4.99,0.0,SPRING15,Salvador,7.0
201,1061,2025-04-16 01:05:00,delivered,credit_card,8.99,5.78,WELCOME10,Rio de Janeiro,1.0
202,683,2025-08-31 03:52:00,shipped,credit_card,8.99,5.8,,Sao Paulo,5.0
203,249,2026-01-28 18:43:00,shipped,paypal,0.0,15.55,WELCOME10,Belo Horizonte,9.0
204,1058,2024-05-27 17:47:00,processing,boleto,8.99,8.77,FREESHIP,Goiania,8.0
205,317,2024-11-04 20:19:00,delivered,credit_card,0.0,7.19,,Belo Horizonte,1.0
206,235,2024-03-09 00:09:00,delivered,credit_card,4.99,12.96,SPRING15,Rio de Janeiro,2.0
207,971,2024-01-26 16:28:00,delivered,credit_card,8.99,7.78,,Recife,7.0
208,991,2024-07-07 07:53:00,delivered,pix,0.0,3.37,,Salvador,9.0
209,253,2025-03-18 04:40:00,delivered,credit_card,0.0,5.66,,Goiania,1.0
210,493,2024-06-23 16:47:00,cancelled,credit_card,4.99,0.0,FREESHIP,Salvador,
211,594,2024-10-23 21:06:00,delivered,pix,0.0,8.76,,Recife,8.0
212,220,2025-04-20 13:52:00,processing,pix,0.0,13.71,FREESHIP,Rio de Janeiro,7.0
213,1156,2025-02-02 00:37:00,delivered,credit_card,0.0,9.44,,Goiania,5.0
214,911,2024-02-13 11:08:00,delivered,pix,0.0,12.76,,Sao Paulo,8.0
215,325,2025-01-01 16:54:00,delivered,credit_card,0.0,10.93,,Campinas,9.0
216,800,2025-06-09 02:11:00,processing,pix,0.0,0.0,WELCOME10,Porto Alegre,3.0
217,942,2026-01-02 04:17:00,delivered,pix,8.99,6.63,,Goiania,5.0
218,991,2025-01-20 15:38:00,delivered,debit_card,4.99,13.73,,Goiania,3.0
219,1077,2024-09-22 04:44:00,delivered,credit_card,8.99,3.31,,Fortaleza,6.0
220,827,2024-03-10 01:01:00,delivered,boleto,8.99,15.61,FREESHIP,Salvador,3.0
221,976,2024-11-27 07:49:00,shipped,credit_card,8.99,6.99,FREESHIP,Florianopolis,4.0
222,787,2026-02-12 13:59:00,delivered,credit_card,4.99,11.25,,Sao Paulo,2.0
223,150,2025-03-28 11:38:00,delivered,pix,0.0,0.0,,Florianopolis,1.0
224,921,2025-01-21 04:40:00,delivered,boleto,4.99,9.73,,Salvador,9.0
225,586,2024-08-18 06:47:00,shipped,credit_card,8.99,0.36,,Belo Horizonte,3.0
226,177,2025-08-19 00:40:00,cancelled,credit_card,0.0,4.36,,Sao Paulo,
227,288,2024-01-06 11:49:00,delivered,boleto,8.99,4.63,,Porto Alegre,7.0
228,380,2025-11-29 23:58:00,shipped,credit_card,0.0,13.22,WELCOME10,Fortaleza,9.0
229,971,2025-05-27 11:22:00,returned,credit_card,8.99,0.0,,Salvador,9.0
230,876,2025-10-02 12:55:00,cancelled,pix,4.99,0.67,,Campinas,
231,611,2024-04-13 03:31:00,delivered,credit_card,4.99,3.9,,Sao Paulo,4.0
232,459,2024-10-23 08:24:00,delivered,pix,4.99,4.27,,Curitiba,6.0
233,154,2025-07-01 18:15:00,processing,boleto,0.0,8.33,VIP20,Recife,9.0
234,117,2025-07-13 22:57:00,delivered,pix,4.99,4.8,,Curitiba,2.0
235,62,2024-02-03 10:26:00,delivered,credit_card,8.99,16.07,SPRING15,Sao Paulo,5.0
236,286,2024-07-28 17:52:00,shipped,credit_card,14.99,16.8,FREESHIP,Sao Paulo,6.0
237,483,2025-05-20 02:51:00,delivered,credit_card,0.0,7.7,,Recife,1.0
238,166,2025-07-18 15:08:00,delivered,debit_card,4.99,24.97,,Salvador,5.0
239,1040,2024-08-18 20:22:00,delivered,boleto,14.99,9.64,FREESHIP,Belo Horizonte,7.0
240,44,2024-02-26 00:49:00,delivered,boleto,8.99,15.93,,Goiania,4.0
241,38,2025-07-19 15:03:00,processing,credit_card,4.99,8.05,,Recife,7.0
242,875,2025-07-16 04:07:00,delivered,pix,8.99,6.38,,Porto Alegre,8.0
243,721,2024-07-17 10:27:00,delivered,pix,4.99,6.88,,Sao Paulo,1.0
244,466,2025-02-26 23:48:00,shipped,pix,0.0,16.27,,Sao Paulo,9.0
245,512,2024-02-28 02:03:00,cancelled,credit_card,8.99,5.79,,Sao Paulo,
246,644,2024-12-24 19:41:00,delivered,boleto,14.99,3.97,,Recife,4.0
247,981,2025-11-04 03:42:00,returned,credit_card,14.99,9.11,,Belo Horizonte,2.0
248,1014,2025-12-23 23:52:00,delivered,pix,4.99,3.3,,Salvador,6.0
249,620,2025-01-10 17:18:00,shipped,credit_card,14.99,13.11,,Florianopolis,4.0
250,1109,2025-05-30 03:03:00,returned,credit_card,4.99,6.8,WELCOME10,Fortaleza,6.0
251,996,2024-10-13 02:13:00,returned,debit_card,4.99,0.45,,Curitiba,3.0
252,1133,2024-08-03 03:23:00,shipped,debit_card,0.0,0.0,FREESHIP,Salvador,3.0
253,930,2024-04-26 00:31:00,delivered,credit_card,4.99,3.76,FREESHIP,Curitiba,1.0
254,174,2024-03-02 08:54:00,delivered,boleto,0.0,4.88,,Recife,7.0
255,910,2024-02-15 07:13:00,delivered,credit_card,4.99,2.11,,Sao Paulo,7.0
256,625,2024-02-02 17:48:00,delivered,credit_card,8.99,6.82,VIP20,Porto Alegre,6.0
257,538,2026-02-10 18:13:00,shipped,paypal,0.0,7.06,,Recife,1.0
258,876,2026-01-16 23:48:00,shipped,paypal,0.0,12.74,WELCOME10,Florianopolis,1.0
259,589,2025-07-01 14:27:00,delivered,credit_card,4.99,14.16,,Salvador,9.0
260,488,2024-05-15 00:17:00,processing,credit_card,4.99,10.49,,Campinas,5.0
261,606,2024-12-11 18:25:00,delivered,credit_card,14.99,4.11,FREESHIP,Goiania,1.0
262,514,2025-10-30 19:00:00,delivered,pix,4.99,10.61,,Curitiba,2.0
263,367,2025-03-30 14:01:00,delivered,pix,,,,Porto Alegre,8.0
264,984,2025-10-15 17:13:00,returned,pix,8.99,1.45,,Curitiba,7.0
265,1130,2024-11-17 02:28:00,returned,debit_card,8.99,3.71,WELCOME10,Curitiba,3.0
266,1014,2024-05-10 07:40:00,delivered,credit_card,8.99,0.0,FREESHIP,Sao Paulo,3.0
267,477,2024-04-27 20:02:00,delivered,pix,4.99,0.01,,Fortaleza,3.0
268,650,2024-02-12 17:45:00,delivered,boleto,4.99,2.79,,Curitiba,4.0
269,528,2024-01-17 21:54:00,shipped,pix,0.0,,,Belo Horizonte,6.0
270,717,2024-04-21 02:32:00,delivered,boleto,4.99,25.77,WELCOME10,Belo Horizonte,8.0
271,668,2025-08-07 11:53:00,shipped,credit_card,0.0,3.52,,Curitiba,7.0
272,294,2024-01-26 10:38:00,processing,pix,0.0,0.0,,Goiania,6.0
273,768,2025-04-26 09:39:00,processing,credit_card,8.99,,,Brasilia,1.0
274,53,2024-04-18 19:13:00,delivered,credit_card,14.99,7.17,VIP20,Campinas,6.0
275,1191,2025-12-30 11:13:00,delivered,pix,8.99,,VIP20,Florianopolis,7.0
276,308,2025-01-25 20:05:00,delivered,credit_card,8.99,0.0,VIP20,Fortaleza,2.0
277,1032,2025-08-11 20:35:00,delivered,pix,8.99,2.6,,Campinas,7.0
278,106,2025-09-13 15:42:00,delivered,paypal,8.99,11.41,,Belo Horizonte,9.0
279,1179,2024-10-27 07:21:00,processing,pix,4.99,11.48,WELCOME10,Belo Horizonte,4.0
280,934,2024-11-18 23:07:00,delivered,credit_card,0.0,4.08,WELCOME10,Recife,4.0
281,742,2024-03-22 11:35:00,processing,boleto,0.0,2.8,WELCOME10,Salvador,9.0
282,472,2025-04-04 13:14:00,processing,credit_card,8.99,15.17,,Recife,3.0
283,1198,2025-11-12 04:38:00,returned,pix,8.99,14.2,VIP20,Rio de Janeiro,5.0
284,167,2025-02-22 13:32:00,processing,debit_card,4.99,0.0,WELCOME10,Belo Horizonte,3.0
285,369,2025-04-09 00:10:00,delivered,boleto,4.99,6.99,,Florianopolis,2.0
286,963,2026-01-30 03:08:00,delivered,paypal,0.0,,SPRING15,Brasilia,1.0
287,150,2024-05-15 16:55:00,delivered,pix,4.99,15.52,,Porto Alegre,9.0
288,262,2025-02-15 22:35:00,delivered,credit_card,4.99,0.0,,Porto Alegre,4.0
289,221,2026-01-09 01:04:00,shipped,pix,8.99,9.11,,Goiania,6.0
290,922,2026-01-28 13:18:00,processing,debit_card,8.99,0.0,FREESHIP,Florianopolis,8.0
291,1044,2024-03-26 04:57:00,delivered,credit_card,4.99,12.85,,Goiania,1.0
292,929,2025-01-23 10:28:00,delivered,credit_card,4.99,5.71,,Rio de Janeiro,3.0
293,476,2024-10-31 15:21:00,shipped,boleto,4.99,21.11,FREESHIP,Fortaleza,1.0
294,1041,2025-03-12 09:20:00,delivered,paypal,0.0,13.21,SPRING15,Brasilia,7.0
295,86,2026-01-22 23:13:00,delivered,credit_card,8.99,3.34,FREESHIP,Fortaleza,7.0
296,644,2024-04-11 11:18:00,processing,credit_card,8.99,0.0,,Salvador,3.0
297,459,2024-06-22 09:58:00,delivered,credit_card,0.0,11.06,WELCOME10,Belo Horizonte,5.0
