payment_id,order_id,amount_paid,currency,paid_at,payment_status
124,124,730.84,BRL,2024-01-23 13:04:00,paid
125,125,630.74,BRL,2025-01-19 10:40:00,paid
126,126,1522.35,BRL,2025-11-06 18:40:00,paid
127,127,349.71,BRL,2025-09-20 19:34:00,paid
128,128,247.01,BRL,2025-09-12 00:34:00,paid
129,129,303.44,BRL,2024-04-27 06:01:00,paid
130,130,448.93,BRL,2024-10-01 08:30:00,partial_refund
131,131,599.29,BRL,2025-04-23 23:51:00,paid
132,132,846.99,BRL,2024-06-26 06:43:00,refunded
133,133,1088.72,BRL,2024-06-18 06:46:00,paid
134,134,346.08,BRL,2024-11-22 19:06:00,refunded
135,135,2681.37,BRL,2025-01-17 20:52:00,paid
136,136,389.2,BRL,2024-09-16 18:26:00,partial_refund
137,137,499.31,BRL,2025-02-11 00:07:00,paid
138,138,1037.1,BRL,2024-09-08 02:13:00,paid
139,139,44.39,BRL,2024-11-22 22:00:00,refunded
140,140,356.28,BRL,2025-07-29 02:24:00,paid
141,141,540.25,BRL,2024-10-11 22:38:00,paid
142,142,1683.53,BRL,2024-11-21 10:12:00,paid
143,143,4394.85,BRL,2025-03-07 03:07:00,paid
144,144,757.27,BRL,2025-08-13 00:18:00,refunded
145,145,447.87,BRL,2024-10-18 04:53:00,paid
146,146,276.77,BRL,2024-12-11 20:01:00,refunded
147,147,2040.65,BRL,2024-10-08 10:48:00,paid
148,148,1636.99,BRL,2025-09-19 01:25:00,paid
149,149,658.87,BRL,2025-01-17 19:06:00,refunded
150,150,540.41,BRL,2024-11-26 22:46:00,paid
151,151,1365.0,BRL,2025-07-04 00:59:00,paid
152,152,2178.04,BRL,2024-11-07 02:16:00,paid
153,153,787.07,BRL,2025-12-16 05:59:00,paid
154,154,2550.95,BRL,2026-02-10 18:56:00,refunded
155,155,634.56,BRL,2024-09-03 18:30:00,paid
156,156,1188.61,BRL,2024-08-19 02:16:00,paid
157,157,861.78,BRL,2024-09-05 21:41:00,paid
158,158,568.91,BRL,2024-08-05 00:42:00,paid
159,159,886.88,BRL,2024-12-14 06:52:00,paid
160,160,508.64,BRL,2025-11-02 04:54:00,paid
161,161,579.71,BRL,2025-04-08 19:32:00,paid
162,162,2102.18,BRL,2024-06-17 21:19:00,paid
163,163,1261.5,BRL,2024-09-03 00:57:00,paid
164,164,548.25,BRL,2025-04-08 11:16:00,paid
165,165,207.86,BRL,2024-06-03 12:32:00,paid
166,166,1145.47,BRL,2024-04-10 01:41:00,paid
167,167,222.57,BRL,2025-02-16 05:38:00,refunded
168,168,334.07,BRL,2025-11-28 01:41:00,paid
169,169,228.43,BRL,2024-02-06 18:17:00,paid
170,170,699.41,BRL,2025-02-05 12:06:00,paid
171,171,584.95,BRL,2024-07-29 05:50:00,partial_refund
172,172,659.14,BRL,2026-01-21 00:06:00,paid
173,173,212.4,BRL,2025-12-05 07:10:00,paid
174,174,551.06,BRL,2024-05-25 00:42:00,paid
175,175,2095.77,BRL,2024-06-23 21:48:00,paid
176,176,1381.81,BRL,2025-05-15 07:30:00,paid
177,177,4356.86,BRL,2024-08-21 16:32:00,paid
178,178,913.82,BRL,2026-01-23 10:28:00,paid
179,179,266.47,BRL,2024-09-16 11:29:00,paid
180,180,664.26,BRL,2025-11-10 19:30:00,paid
181,181,579.63,BRL,2024-05-31 13:54:00,paid
182,182,233.93,BRL,2024-09-07 18:47:00,paid
183,183,659.71,BRL,2025-10-16 03:17:00,paid
184,184,652.92,BRL,2024-09-28 21:22:00,paid
185,185,224.24,BRL,2024-07-14 01:37:00,partial_refund
186,186,1652.35,BRL,2025-04-10 18:50:00,paid
187,187,722.52,BRL,2025-04-22 21:09:00,paid
188,188,546.0,BRL,2024-11-06 15:18:00,paid
189,189,1126.72,BRL,2024-10-16 18:07:00,refunded
190,190,2170.14,BRL,2024-02-21 08:08:00,paid
191,191,868.35,BRL,2024-06-07 02:45:00,paid
192,192,336.28,BRL,2024-03-23 09:14:00,paid
193,193,105.65,BRL,2025-03-08 12:57:00,partial_refund
194,194,321.81,BRL,2024-06-26 18:27:00,paid
195,195,370.38,BRL,2024-05-18 13:35:00,paid
196,196,60.55,BRL,2025-07-12 05:24:00,paid
197,197,1387.08,BRL,2025-05-30 21:45:00,paid
198,198,1638.56,BRL,2025-04-17 00:58:00,paid
199,199,273.79,BRL,2025-09-21 09:50:00,paid
200,200,145.09,BRL,2025-08-02 09:03:00,paid
201,201,656.64,BRL,2025-04-16 01:05:00,paid
202,202,137.45,BRL,2025-08-31 03:52:00,partial_refund
203,203,454.16,BRL,2026-01-28 18:43:00,paid
204,204,465.16,BRL,2024-05-27 17:47:00,paid
205,205,402.43,BRL,2024-11-04 20:19:00,paid
206,206,160.18,BRL,2024-03-09 00:09:00,refunded
207,207,1288.59,BRL,2024-01-26 16:28:00,refunded
208,208,1268.02,BRL,2024-07-07 07:53:00,refunded
209,209,803.9,BRL,2025-03-18 04:40:00,paid
210,210,678.26,BRL,2024-06-23 16:47:00,paid
211,211,1004.13,BRL,2024-10-23 21:06:00,paid
212,212,289.12,BRL,2025-04-20 13:52:00,paid
213,213,212.68,BRL,2025-02-02 00:37:00,paid
214,214,1657.07,BRL,2024-02-13 11:08:00,paid
215,215,1033.99,BRL,2025-01-01 16:54:00,paid
216,216,144.78,BRL,2025-06-09 02:11:00,paid
217,217,725.88,BRL,2026-01-02 04:17:00,paid
218,218,1103.14,BRL,2025-01-20 15:38:00,paid
219,219,681.41,BRL,2024-09-22 04:44:00,paid
220,220,310.05,BRL,2024-03-10 01:01:00,paid
221,221,37.58,BRL,2024-11-27 07:49:00,paid
222,222,1523.56,BRL,2026-02-12 13:59:00,paid
223,223,1750.84,BRL,2025-03-28 11:38:00,paid
224,224,353.73,BRL,2025-01-21 04:40:00,paid
225,225,1167.12,BRL,2024-08-18 06:47:00,paid
226,226,1207.58,BRL,2025-08-19 00:40:00,paid
227,227,977.67,BRL,2024-01-06 11:49:00,paid
228,228,227.41,BRL,2025-11-29 23:58:00,paid
229,229,291.66,BRL,2025-05-27 11:22:00,paid
230,230,513.01,BRL,2025-10-02 12:55:00,paid
231,231,475.17,BRL,2024-04-13 03:31:00,paid
232,232,633.65,BRL,2024-10-23 08:24:00,paid
233,233,1036.03,BRL,2025-07-01 18:15:00,paid
234,234,1545.71,BRL,2025-07-13 22:57:00,paid
235,235,342.82,BRL,2024-02-03 10:26:00,paid
236,236,1794.33,BRL,2024-07-28 17:52:00,paid
237,237,293.08,BRL,2025-05-20 02:51:00,paid
238,238,184.02,BRL,2025-07-18 15:08:00,paid
239,239,663.99,BRL,2024-08-18 20:22:00,paid
240,240,728.34,BRL,2024-02-26 00:49:00,paid
241,241,1751.52,BRL,2025-07-19 15:03:00,paid
242,242,1928.62,BRL,2025-07-16 04:07:00,paid
243,243,1982.45,BRL,2024-07-17 10:27:00,paid
244,244,2440.99,BRL,2025-02-26 23:48:00,paid
245,245,1289.97,BRL,2024-02-28 02:03:00,paid
246,246,1275.32,BRL,2024-12-24 19:41:00,partial_refund
247,247,111.18,BRL,2025-11-04 03:42:00,paid
248,248,2049.41,BRL,2025-12-23 23:52:00,paid
249,249,974.78,BRL,2025-01-10 17:18:00,paid
250,250,126.89,BRL,2025-05-30 03:03:00,paid
251,251,635.69,BRL,2024-10-13 02:13:00,paid
252,252,151.66,BRL,2024-08-03 03:23:00,paid
253,253,1364.99,BRL,2024-04-26 00:31:00,paid
254,254,562.13,BRL,2024-03-02 08:54:00,paid
255,255,187.54,BRL,2024-02-15 07:13:00,paid
256,256,277.11,BRL,2024-02-02 17:48:00,paid
257,257,2274.55,BRL,2026-02-10 18:13:00,paid
258,258,429.2,BRL,2026-01-16 23:48:00,paid
259,259,1117.31,BRL,2025-07-01 14:27:00,paid
260,260,1780.28,BRL,2024-05-15 00:17:00,paid
261,261,124.56,BRL,2024-12-11 18:25:00,paid
262,262,90.83,BRL,2025-10-30 19:00:00,paid
263,263,1274.02,BRL,2025-03-30 14:01:00,paid
264,264,1402.28,BRL,2025-10-15 17:13:00,paid
265,265,1384.56,BRL,2024-11-17 02:28:00,paid
266,266,141.43,BRL,2024-05-10 07:40:00,paid
267,267,991.68,BRL,2024-04-27 20:02:00,paid
268,268,599.72,BRL,2024-02-12 17:45:00,paid
269,269,628.7,BRL,2024-01-17 21:54:00,paid
270,270,463.43,BRL,2024-04-21 02:32:00,paid
271,271,1334.73,BRL,2025-08-07 11:53:00,paid
272,272,1430.67,BRL,2024-01-26 10:38:00,paid
273,273,357.07,BRL,2025-04-26 09:39:00,paid
274,274,1144.16,BRL,2024-04-18 19:13:00,paid
275,275,2221.53,BRL,2025-12-30 11:13:00,paid
276,276,1500.43,BRL,2025-01-25 20:05:00,paid
277,277,466.35,BRL,2025-08-11 20:35:00,paid
278,278,780.52,BRL,2025-09-13 15:42:00,paid
279,279,76.67,BRL,2024-10-27 07:21:00,paid
280,280,565.75,BRL,2024-11-18 23:07:00,paid
281,281,30.63,BRL,2024-03-22 11:35:00,partial_refund
282,282,371.53,BRL,2025-04-04 13:14:00,paid
283,283,526.73,BRL,2025-11-12 04:38:00,paid
284,284,4350.2,BRL,2025-02-22 13:32:00,refunded
285,285,1145.71,BRL,2025-04-09 00:10:00,paid
286,286,2383.16,BRL,2026-01-30 03:08:00,paid
287,287,116.12,BRL,2024-05-15 16:55:00,paid
288,288,3114.59,BRL,2025-02-15 22:35:00,paid
289,289,343.5,BRL,2026-01-09 01:04:00,paid
290,290,701.27,BRL,2026-01-28 13:18:00,paid
291,291,271.8,BRL,2024-03-26 04:57:00,paid
292,292,333.92,BRL,2025-01-23 10:28:00,paid
293,293,12.01,BRL,2024-10-31 15:21:00,paid
294,294,976.6,BRL,2025-03-12 09:20:00,paid
295,295,102.8,BRL,2026-01-22 23:13:00,partial_refund
296,296,892.5,BRL,2024-04-11 11:18:00,paid
297,297,2221.33,BRL,2024-06-22 09:58:00,paid
298,298,568.17,BRL,2024-05-24 03:13:00,paid
299,299,2095.1,BRL,2025-07-06 17:51:00,paid
300,300,214.04,BRL,2024-07-27 09:36:00,paid
301,301,1108.01,BRL,2024-04-22 22:45:00,paid
302,302,493.48,BRL,2024-05-20 08:46:00,paid
303,303,313.13,BRL,2026-01-14 02:20:00,partial_refund
304,304,451.75,BRL,2025-11-19 02:45:00,failed
305,305,232.31,BRL,2024-11-21 06:53:00,paid
306,306,299.78,BRL,2024-09-08 04:37:00,paid
307,307,4454.72,BRL,2024-09-28 15:09:00,paid
308,308,799.34,BRL,2024-07-22 20:56:00,paid
309,309,165.58,BRL,2024-01-04 13:04:00,refunded
310,310,1025.84,BRL,2025-03-04 22:16:00,paid
311,311,1210.88,BRL,2025-06-27 21:11:00,paid
312,312,1539.33,BRL,2025-05-16 20:25:00,paid
313,313,150.68,BRL,2026-02-12 09:26:00,paid
314,314,3910.7,BRL,2025-04-20 10:42:00,paid
315,315,91.21,BRL,2025-05-15 19:26:00,paid
316,316,682.54,BRL,2024-03-03 17:49:00,paid
317,317,603.6,BRL,2025-03-28 13:25:00,paid
318,318,78.11,BRL,2024-12-13 20:52:00,refunded
319,319,40.74,BRL,2025-07-02 06:49:00,paid
320,320,1022.45,BRL,2025-09-11 17:01:00,paid
321,321,204.68,BRL,2024-12-27 17:04:00,paid
322,322,1042.64,BRL,2025-07-02 12:55:00,paid
323,323,585.65,BRL,2024-12-05 13:13:00,paid
324,324,1476.41,BRL,2026-02-12 16:06:00,paid
325,325,207.96,BRL,2024-11-04 00:14:00,paid
326,326,64.99,BRL,2024-05-14 23:56:00,paid
327,327,1415.74,BRL,2024-01-21 00:47:00,partial_refund
328,328,976.65,BRL,2026-01-23 18:50:00,paid
329,329,1439.65,BRL,2025-03-11 16:47:00,paid
330,330,1018.24,BRL,2025-11-02 18:30:00,partial_refund
331,331,2856.83,BRL,2024-10-12 15:18:00,paid
332,332,837.74,BRL,2025-01-16 17:45:00,paid
333,333,51.62,BRL,2024-08-25 14:23:00,refunded
334,334,146.25,BRL,2025-10-07 02:06:00,paid
335,335,1476.42,BRL,2024-03-26 04:25:00,paid
336,336,2353.59,BRL,2025-05-20 08:26:00,paid
337,337,906.37,BRL,2025-12-06 18:38:00,paid
338,338,1190.16,BRL,2025-05-15 17:31:00,paid
339,339,421.0,BRL,2025-06-10 17:54:00,paid
340,340,665.48,BRL,2024-05-10 00:10:00,paid
341,341,221.35,BRL,2024-02-09 13:31:00,paid
342,342,1143.19,BRL,2025-03-04 12:00:00,paid
343,343,332.45,BRL,2025-06-19 10:39:00,paid
344,344,1227.89,BRL,2025-12-02 06:51:00,paid
345,345,356.05,BRL,2024-12-04 23:46:00,paid
346,346,2264.76,BRL,2024-11-21 13:11:00,paid
347,347,771.65,BRL,2025-12-19 06:12:00,failed
348,348,385.78,BRL,2025-08-31 05:04:00,failed
349,349,159.31,BRL,2024-07-16 08:18:00,paid
350,350,1036.09,BRL,2025-01-11 19:49:00,paid
351,351,294.97,BRL,2024-03-20 18:09:00,paid
352,352,2139.08,BRL,2024-04-14 04:51:00,paid
353,353,190.24,BRL,2025-08-29 19:17:00,paid
354,354,1499.33,BRL,2024-04-03 19:09:00,paid
355,355,428.37,BRL,2024-02-23 04:32:00,partial_refund
356,356,1008.94,BRL,2026-02-17 03:15:00,paid
357,357,1564.24,BRL,2024-12-29 09:53:00,partial_refund
358,358,528.38,BRL,2024-06-19 20:53:00,paid
359,359,1749.92,BRL,2025-05-16 22:50:00,paid
360,360,965.59,BRL,2024-07-01 00:55:00,paid
361,361,387.1,BRL,2024-08-06 19:35:00,paid
362,362,2420.86,BRL,2024-07-19 14:23:00,paid
363,363,440.61,BRL,2025-01-12 08:32:00,paid
364,364,112.79,BRL,2025-02-11 01:44:00,paid
365,365,319.02,BRL,2026-01-05 15:38:00,paid
366,366,381.03,BRL,2024-04-16 01:23:00,paid
367,367,980.74,BRL,2024-05-14 02:26:00,paid
368,368,169.57,BRL,2024-04-09 17:17:00,paid
369,369,212.45,BRL,2024-12-06 21:54:00,paid
370,370,832.74,BRL,2025-06-12 00:42:00,refunded
371,371,333.54,BRL,2024-07-16 16:09:00,paid
372,372,172.49,BRL,2025-12-06 16:26:00,paid
373,373,1726.8,BRL,2024-10-07 17:22:00,paid
374,374,713.37,BRL,2025-08-02 14:05:00,paid
375,375,887.57,BRL,2024-11-21 18:40:00,paid
376,376,128.73,BRL,2025-04-16 02:56:00,paid
377,377,416.69,BRL,2024-11-13 01:24:00,paid
378,378,531.82,BRL,2024-08-19 06:17:00,paid
379,379,1885.12,BRL,2024-09-27 02:31:00,paid
380,380,379.46,BRL,2025-04-05 20:43:00,paid
381,381,663.19,BRL,2025-07-04 18:13:00,paid
382,382,297.87,BRL,2024-12-16 22:32:00,paid
383,383,713.33,BRL,2024-08-03 08:13:00,paid
384,384,496.4,BRL,2025-05-01 04:29:00,paid
385,385,303.54,BRL,2024-11-26 22:06:00,paid
386,386,583.62,BRL,2024-12-08 10:41:00,paid
387,387,259.42,BRL,2025-07-13 05:48:00,paid
388,388,690.81,BRL,2025-12-12 13:46:00,refunded
389,389,1728.71,BRL,2025-09-07 10:30:00,paid
390,390,1440.77,BRL,2024-04-20 13:27:00,paid
391,391,307.01,BRL,2025-06-08 05:59:00,paid
392,392,1265.79,BRL,2025-08-04 04:08:00,paid
393,393,1629.48,BRL,2024-05-24 11:29:00,paid
394,394,98.75,BRL,2024-06-25 09:19:00,paid
395,395,965.37,BRL,2026-01-11 07:09:00,failed
396,396,1073.19,BRL,2024-12-18 03:30:00,paid
397,397,2518.38,BRL,2025-04-19 22:15:00,paid
398,398,205.66,BRL,2024-11-30 09:52:00,failed
399,399,378.74,BRL,2025-11-16 23:37:00,failed
400,400,430.62,BRL,2025-01-05 10:32:00,partial_refund
401,401,865.75,BRL,2024-05-21 15:12:00,paid
402,402,275.62,BRL,2025-10-31 05:27:00,partial_refund
403,403,1384.44,BRL,2024-09-24 13:11:00,paid
404,404,559.78,BRL,2024-03-25 11:43:00,refunded
405,405,493.92,BRL,2024-11-22 04:36:00,paid
406,406,2209.57,BRL,2025-03-08 01:19:00,paid
407,407,1440.27,BRL,2025-05-29 11:49:00,paid
408,408,105.69,BRL,2024-07-02 13:34:00,paid
409,409,1294.94,BRL,2025-12-25 18:16:00,paid
410,410,1093.75,BRL,2024-02-19 14:18:00,paid
411,411,1644.99,BRL,2025-09-05 21:23:00,paid
412,412,1522.19,BRL,2024-09-30 05:18:00,paid
413,413,551.9,BRL,2025-09-02 03:22:00,paid
414,414,2277.58,BRL,2025-07-01 03:08:00,paid
415,415,49.64,BRL,2025-04-14 22:39:00,paid
416,416,723.63,BRL,2025-08-05 14:02:00,paid
417,417,756.35,BRL,2025-01-26 16:46:00,paid
418,418,2394.66,BRL,2025-02-14 00:11:00,paid
419,419,706.75,BRL,2024-04-29 06:36:00,paid
420,420,1036.17,BRL,2025-12-11 01:23:00,paid
421,421,437.43,BRL,2024-10-10 16:42:00,paid
422,422,513.85,BRL,2024-10-06 00:26:00,paid
423,423,22.7,BRL,2024-09-30 14:38:00,failed
424,424,345.85,BRL,2024-08-14 02:39:00,paid
425,425,2468.97,BRL,2025-10-12 19:21:00,paid
426,426,100.69,BRL,2024-12-17 10:20:00,paid
427,427,212.49,BRL,2024-08-03 17:44:00,paid
428,428,809.35,BRL,2024-03-21 20:31:00,paid
429,429,192.43,BRL,2025-01-13 09:18:00,paid
430,430,521.77,BRL,2024-06-19 19:22:00,paid
431,431,1257.76,BRL,2026-01-31 15:15:00,paid
432,432,112.92,BRL,2024-04-09 12:13:00,paid
433,433,1304.03,BRL,2026-01-22 12:35:00,paid
434,434,2562.35,BRL,2024-11-23 11:40:00,paid
435,435,1173.08,BRL,2025-05-29 17:34:00,paid
436,436,638.0,BRL,2025-04-05 05:59:00,paid
437,437,733.57,BRL,2025-11-02 05:43:00,paid
438,438,170.84,BRL,2024-07-12 20:01:00,paid
439,439,1011.62,BRL,2024-03-23 19:36:00,paid
440,440,2945.38,BRL,2025-08-05 20:30:00,paid
441,441,69.86,BRL,2025-07-19 16:55:00,failed
442,442,2181.47,BRL,2024-06-28 15:59:00,paid
443,443,2686.2,BRL,2025-08-14 14:29:00,paid
444,444,444.59,BRL,2025-04-17 16:41:00,paid
445,445,3053.98,BRL,2024-09-07 14:46:00,paid
446,446,619.84,BRL,2025-06-16 15:55:00,paid
447,447,1273.0,BRL,2024-05-03 22:49:00,paid
448,448,2724.53,BRL,2024-10-26 12:53:00,paid
449,449,786.19,BRL,2025-03-14 03:06:00,paid
450,450,178.76,BRL,2026-01-09 05:23:00,paid
451,451,951.47,BRL,2024-08-03 08:06:00,paid
452,452,797.02,BRL,2026-02-09 07:48:00,paid
453,453,1190.57,BRL,2025-12-17 08:36:00,paid
454,454,141.79,BRL,2024-10-22 00:14:00,paid
455,455,464.93,BRL,2025-08-04 20:19:00,paid
456,456,860.44,BRL,2024-05-30 19:18:00,paid
457,457,1812.96,BRL,2024-11-06 04:37:00,paid
458,458,216.02,BRL,2025-02-19 15:39:00,paid
459,459,472.33,BRL,2024-11-17 16:23:00,paid
460,460,199.36,BRL,2025-05-08 05:30:00,paid
461,461,727.3,BRL,2024-11-12 06:14:00,paid
462,462,1572.32,BRL,2024-12-31 15:29:00,paid
463,463,88.09,BRL,2026-01-29 06:23:00,paid
464,464,1265.12,BRL,2024-03-09 08:35:00,paid
465,465,1538.43,BRL,2025-04-02 18:33:00,paid
466,466,93.67,BRL,2024-08-21 22:45:00,paid
467,467,534.32,BRL,2024-10-11 02:47:00,partial_refund
468,468,1711.63,BRL,2024-11-06 01:13:00,paid
469,469,1236.37,BRL,2024-04-10 17:56:00,paid
470,470,399.82,BRL,2024-04-29 14:05:00,paid
471,471,591.18,BRL,2024-11-03 18:00:00,paid
472,472,587.28,BRL,2025-08-26 20:39:00,paid
473,473,1766.04,BRL,2025-05-19 20:11:00,paid
474,474,434.55,BRL,2024-09-27 17:15:00,refunded
475,475,605.32,BRL,2024-04-24 05:31:00,refunded
476,476,131.72,BRL,2024-06-16 05:04:00,paid
477,477,1195.36,BRL,2024-12-16 20:43:00,failed
478,478,689.24,BRL,2024-08-06 09:32:00,partial_refund
479,479,2509.17,BRL,2025-09-16 06:36:00,paid
480,480,1682.47,BRL,2024-06-10 19:42:00,refunded
481,481,513.24,BRL,2026-01-13 08:14:00,refunded
482,482,721.56,BRL,2024-05-28 09:21:00,paid
483,483,1235.2,BRL,2025-07-30 12:48:00,paid
484,484,939.65,BRL,2024-12-28 20:51:00,paid
485,485,3968.59,BRL,2024-08-01 21:45:00,refunded
486,486,1284.21,BRL,2025-03-13 12:20:00,paid
487,487,426.22,BRL,2025-03-26 08:06:00,paid
488,488,1212.29,BRL,2024-02-17 21:24:00,paid
