ticket_id,customer_id,order_id,created_at,issue_type,priority,status,channel,satisfaction_score,resolved_in_hours
42,639,2461.0,2026-01-06 09:00:00,damaged_item,medium,closed,chat,1.0,
43,63,960.0,2025-11-08 12:00:00,damaged_item,low,closed,email,5.0,
44,845,1084.0,2025-04-04 06:00:00,account_problem,medium,closed,phone,,8.7
45,48,3089.0,2024-10-08 04:00:00,payment_issue,medium,pending,phone,5.0,
46,288,1203.0,2026-02-13 02:00:00,account_problem,medium,closed,chat,5.0,29.5
47,546,,2025-04-02 08:00:00,payment_issue,medium,open,email,3.0,
48,103,2796.0,2025-03-17 19:00:00,product_question,high,closed,email,5.0,8.8
49,123,1389.0,2025-08-12 18:00:00,payment_issue,medium,closed,phone,5.0,4.9
50,244,1101.0,2024-04-06 04:00:00,damaged_item,low,open,chat,4.0,
51,1035,1238.0,2024-07-15 18:00:00,damaged_item,low,closed,chat,3.0,23.5
52,84,,2024-04-17 11:00:00,refund_request,low,closed,chat,3.0,
53,753,,2025-09-28 11:00:00,payment_issue,low,closed,email,3.0,
54,162,3489.0,2025-03-21 17:00:00,account_problem,low,closed,chat,4.0,
55,1051,3181.0,2024-02-05 07:00:00,product_question,medium,closed,email,5.0,9.0
56,64,,2024-01-07 10:00:00,refund_request,medium,open,phone,4.0,21.8
57,1067,3441.0,2024-01-18 02:00:00,refund_request,low,closed,phone,5.0,33.0
58,243,,2024-10-07 06:00:00,refund_request,high,closed,email,3.0,
59,1011,2931.0,2024-09-25 06:00:00,damaged_item,low,closed,chat,3.0,5.0
60,221,,2024-05-02 11:00:00,account_problem,medium,pending,email,5.0,13.1
61,1184,1066.0,2024-03-24 21:00:00,delivery_issue,low,closed,chat,3.0,13.6
62,221,,2025-09-02 12:00:00,refund_request,low,pending,email,4.0,
63,97,,2025-09-08 02:00:00,product_question,medium,closed,phone,3.0,11.9
64,853,4015.0,2024-11-20 22:00:00,delivery_issue,medium,closed,chat,5.0,3.5
65,1176,3020.0,2024-11-05 17:00:00,product_question,medium,closed,email,,4.2
66,52,,2025-08-06 00:00:00,payment_issue,medium,open,chat,,
67,862,,2025-06-16 00:00:00,payment_issue,high,open,chat,,13.9
68,853,1776.0,2024-01-19 19:00:00,refund_request,medium,pending,email,5.0,11.9
69,746,2453.0,2025-10-08 06:00:00,payment_issue,low,pending,email,3.0,17.4
70,1010,,2024-07-31 04:00:00,product_question,low,open,email,4.0,17.6
71,848,,2024-02-04 03:00:00,account_problem,high,closed,chat,5.0,8.9
72,735,238.0,2024-08-13 05:00:00,product_question,high,closed,email,5.0,6.9
73,354,3540.0,2024-11-11 21:00:00,refund_request,low,closed,phone,4.0,
74,616,143.0,2025-09-02 15:00:00,refund_request,medium,pending,email,5.0,24.7
75,661,2708.0,2024-12-30 03:00:00,damaged_item,low,pending,email,5.0,6.2
76,334,1723.0,2026-01-04 09:00:00,product_question,high,closed,chat,,20.3
77,593,3691.0,2024-04-12 02:00:00,delivery_issue,high,closed,email,3.0,
78,408,3028.0,2025-08-03 03:00:00,delivery_issue,low,closed,email,2.0,12.4
79,812,603.0,2025-02-13 15:00:00,damaged_item,high,open,email,5.0,10.3
80,318,2952.0,2024-03-15 16:00:00,damaged_item,low,open,email,4.0,
81,776,4132.0,2025-06-27 22:00:00,payment_issue,low,pending,email,1.0,12.5
82,534,1550.0,2024-05-27 18:00:00,damaged_item,medium,closed,email,,14.1
83,1055,,2025-11-24 21:00:00,account_problem,low,closed,chat,5.0,8.0
84,669,,2025-07-06 20:00:00,account_problem,medium,closed,chat,4.0,15.1
85,1115,1638.0,2024-02-16 06:00:00,damaged_item,low,closed,email,4.0,22.8
86,423,3863.0,2026-02-08 02:00:00,refund_request,low,pending,chat,,5.7
87,1161,3355.0,2025-10-19 22:00:00,payment_issue,medium,closed,phone,,19.5
88,936,505.0,2024-09-15 16:00:00,refund_request,medium,open,chat,3.0,2.7
89,525,1548.0,2024-01-23 23:00:00,damaged_item,high,closed,email,3.0,16.5
90,561,964.0,2024-01-15 10:00:00,product_question,low,closed,phone,4.0,8.0
91,498,828.0,2025-12-28 22:00:00,payment_issue,low,closed,email,4.0,11.2
92,5,275.0,2024-02-08 08:00:00,account_problem,high,pending,chat,,12.7
93,277,895.0,2025-11-29 06:00:00,delivery_issue,medium,closed,chat,4.0,15.1
94,18,849.0,2026-01-12 18:00:00,account_problem,medium,closed,email,4.0,4.2
95,670,2608.0,2024-09-11 22:00:00,payment_issue,low,closed,email,2.0,4.2
96,884,2959.0,2024-03-21 08:00:00,product_question,medium,closed,email,3.0,6.7
97,1156,,2025-07-09 14:00:00,delivery_issue,medium,closed,email,3.0,6.0
98,120,,2025-09-18 06:00:00,damaged_item,medium,closed,chat,5.0,10.1
99,524,1194.0,2024-04-20 15:00:00,delivery_issue,low,pending,chat,4.0,7.6
100,631,789.0,2025-06-11 07:00:00,product_question,medium,pending,chat,,5.2
101,78,,2025-09-05 12:00:00,damaged_item,high,closed,email,5.0,6.6
102,278,,2025-11-24 13:00:00,refund_request,low,closed,chat,2.0,35.9
103,846,3179.0,2026-01-01 18:00:00,refund_request,high,closed,email,5.0,3.4
104,4,495.0,2024-03-19 02:00:00,damaged_item,low,pending,email,4.0,3.6
105,252,188.0,2025-03-05 14:00:00,account_problem,low,closed,chat,4.0,21.8
106,800,3021.0,2025-10-28 14:00:00,refund_request,medium,closed,phone,4.0,
107,796,1575.0,2025-06-01 09:00:00,payment_issue,medium,open,email,4.0,13.6
108,806,2307.0,2024-06-22 05:00:00,product_question,medium,closed,chat,5.0,31.5
109,541,3987.0,2025-11-09 19:00:00,account_problem,medium,open,email,5.0,9.7
110,1050,1637.0,2025-11-21 23:00:00,payment_issue,medium,closed,email,5.0,51.9
111,753,2808.0,2024-01-08 19:00:00,payment_issue,medium,closed,email,4.0,9.8
112,554,,2024-06-14 16:00:00,account_problem,medium,open,email,4.0,19.1
113,814,1896.0,2024-06-05 10:00:00,delivery_issue,high,closed,email,2.0,
114,54,703.0,2025-12-17 16:00:00,damaged_item,medium,closed,email,2.0,13.9
115,104,1002.0,2025-01-16 18:00:00,delivery_issue,high,closed,phone,4.0,6.8
116,717,,2026-01-28 14:00:00,damaged_item,medium,closed,chat,4.0,
117,765,689.0,2024-12-13 10:00:00,payment_issue,medium,closed,email,3.0,6.6
118,754,2927.0,2024-06-20 19:00:00,product_question,medium,closed,email,4.0,9.3
119,288,2601.0,2024-05-21 03:00:00,account_problem,low,closed,email,4.0,15.8
120,290,2503.0,2024-09-27 16:00:00,refund_request,medium,pending,email,4.0,41.7
121,1161,1406.0,2025-07-01 01:00:00,account_problem,low,closed,email,5.0,9.2
122,156,1270.0,2025-10-20 14:00:00,delivery_issue,medium,closed,chat,3.0,
123,500,872.0,2026-01-06 08:00:00,account_problem,medium,closed,chat,5.0,15.6
124,1005,2750.0,2025-06-12 03:00:00,refund_request,medium,closed,phone,5.0,
125,744,2384.0,2026-02-19 12:00:00,payment_issue,medium,closed,email,5.0,2.5
126,448,497.0,2024-03-02 04:00:00,payment_issue,low,closed,email,3.0,17.0
127,32,129.0,2024-04-28 03:00:00,payment_issue,medium,closed,chat,4.0,33.5
128,630,2477.0,2024-07-08 02:00:00,account_problem,high,closed,chat,5.0,8.0
129,1029,3917.0,2025-11-25 21:00:00,delivery_issue,high,open,chat,,19.7
130,688,,2025-11-10 19:00:00,product_question,medium,closed,email,5.0,15.6
131,972,3920.0,2024-01-25 21:00:00,product_question,low,closed,email,4.0,5.6
132,1154,2505.0,2025-04-22 12:00:00,delivery_issue,high,closed,email,,14.3
133,377,3686.0,2024-12-25 12:00:00,payment_issue,medium,closed,chat,5.0,14.8
134,160,2505.0,2024-03-06 06:00:00,payment_issue,medium,closed,email,5.0,12.5
135,890,,2024-10-23 19:00:00,damaged_item,medium,closed,email,3.0,2.0
136,826,3664.0,2024-07-13 06:00:00,account_problem,low,closed,chat,3.0,10.0
137,908,329.0,2024-04-25 03:00:00,product_question,medium,closed,email,4.0,157.2
138,98,2574.0,2025-11-04 11:00:00,payment_issue,low,closed,phone,4.0,9.4
139,136,780.0,2024-05-27 15:00:00,account_problem,low,pending,email,,5.4
140,578,,2024-05-25 04:00:00,product_question,medium,closed,email,2.0,
141,483,1831.0,2025-10-26 22:00:00,payment_issue,low,closed,email,2.0,
142,624,703.0,2024-08-25 06:00:00,damaged_item,low,closed,chat,3.0,26.2
143,153,,2025-03-17 12:00:00,delivery_issue,low,closed,email,,23.0
144,630,3864.0,2025-11-25 09:00:00,delivery_issue,medium,closed,chat,5.0,
145,82,3986.0,2025-05-14 03:00:00,delivery_issue,low,closed,chat,5.0,4.0
146,1188,,2024-12-04 02:00:00,damaged_item,medium,closed,email,3.0,17.0
147,1117,4048.0,2025-04-09 04:00:00,refund_request,low,closed,email,3.0,20.3
148,1014,1616.0,2024-04-30 10:00:00,damaged_item,medium,closed,email,3.0,4.4
149,1057,,2025-02-14 00:00:00,delivery_issue,medium,closed,email,5.0,5.3
150,826,1723.0,2024-07-01 23:00:00,payment_issue,high,closed,chat,4.0,
151,1102,4174.0,2026-01-08 09:00:00,payment_issue,high,closed,email,5.0,10.7
152,423,,2025-04-01 02:00:00,damaged_item,high,closed,email,4.0,38.7
153,710,4071.0,2024-01-27 16:00:00,product_question,low,closed,email,,6.8
154,135,3765.0,2024-03-10 15:00:00,account_problem,medium,closed,chat,,27.0
155,101,2287.0,2024-03-02 04:00:00,delivery_issue,medium,closed,chat,5.0,2.3
156,1043,,2025-09-08 08:00:00,payment_issue,medium,closed,chat,4.0,4.8
157,905,1893.0,2025-09-14 06:00:00,payment_issue,medium,closed,email,3.0,15.0
158,587,428.0,2024-11-12 17:00:00,damaged_item,low,closed,email,5.0,42.5
159,940,,2024-04-29 03:00:00,product_question,high,pending,phone,5.0,15.8
160,1078,556.0,2024-06-21 23:00:00,refund_request,low,closed,phone,5.0,7.7
161,606,1805.0,2025-04-01 14:00:00,product_question,medium,closed,email,5.0,24.4
162,768,2390.0,2025-12-18 04:00:00,damaged_item,low,pending,chat,3.0,12.8
163,210,1986.0,2025-10-17 16:00:00,damaged_item,high,closed,phone,5.0,
164,215,,2024-11-21 13:00:00,delivery_issue,low,open,email,4.0,68.1
165,248,,2024-08-06 10:00:00,product_question,low,open,email,5.0,11.6
166,721,,2024-12-17 21:00:00,payment_issue,medium,closed,email,5.0,23.6
167,943,245.0,2025-09-07 23:00:00,product_question,low,closed,email,3.0,4.6
168,114,,2024-11-12 20:00:00,account_problem,high,closed,email,3.0,8.9
169,55,1725.0,2024-01-21 02:00:00,damaged_item,low,closed,chat,4.0,13.8
170,214,2148.0,2024-06-03 15:00:00,account_problem,high,pending,email,4.0,16.4
171,223,1437.0,2025-10-15 05:00:00,delivery_issue,low,closed,email,4.0,5.8
172,918,3129.0,2025-12-08 04:00:00,product_question,medium,closed,chat,5.0,3.8
173,333,2802.0,2024-11-30 03:00:00,damaged_item,medium,pending,email,5.0,16.7
174,883,2910.0,2024-11-24 04:00:00,damaged_item,low,pending,chat,3.0,
175,553,1276.0,2024-08-09 14:00:00,product_question,medium,closed,email,4.0,35.3
176,316,1108.0,2024-01-25 05:00:00,damaged_item,high,closed,phone,,37.5
177,857,29.0,2024-10-26 18:00:00,refund_request,low,open,chat,5.0,21.4
178,698,3081.0,2024-06-09 22:00:00,delivery_issue,medium,closed,chat,,13.2
179,219,,2026-01-11 08:00:00,delivery_issue,medium,closed,phone,4.0,13.8
180,925,3369.0,2024-08-25 14:00:00,payment_issue,low,closed,email,1.0,21.0
181,330,1955.0,2024-04-30 23:00:00,refund_request,high,pending,chat,5.0,6.3
182,368,1599.0,2024-03-01 11:00:00,payment_issue,low,pending,chat,4.0,2.9
183,86,2846.0,2025-02-10 18:00:00,damaged_item,low,closed,chat,4.0,26.1
184,1108,2751.0,2025-06-16 08:00:00,payment_issue,medium,closed,chat,4.0,9.4
185,813,1782.0,2024-09-13 18:00:00,payment_issue,low,closed,chat,5.0,
186,69,224.0,2025-11-24 05:00:00,account_problem,low,closed,phone,5.0,21.0
187,828,4028.0,2026-02-03 01:00:00,delivery_issue,medium,open,chat,5.0,4.3
188,844,,2024-05-27 07:00:00,account_problem,medium,closed,chat,3.0,
189,246,2971.0,2025-12-14 14:00:00,payment_issue,medium,closed,chat,3.0,24.2
190,367,3873.0,2025-08-13 13:00:00,delivery_issue,medium,pending,email,5.0,5.9
191,480,2898.0,2024-03-23 08:00:00,damaged_item,low,open,chat,3.0,23.4
192,368,1460.0,2024-02-03 15:00:00,delivery_issue,low,closed,chat,5.0,
193,445,,2024-03-21 21:00:00,delivery_issue,high,pending,email,,5.9
194,340,1380.0,2024-05-26 17:00:00,product_question,low,pending,email,3.0,15.5
195,1038,2724.0,2025-08-03 06:00:00,delivery_issue,high,closed,email,4.0,46.6
196,337,2401.0,2025-07-07 23:00:00,refund_request,medium,pending,chat,4.0,10.6
197,965,3211.0,2025-11-14 16:00:00,product_question,low,closed,email,,8.2
198,1057,4118.0,2024-02-28 03:00:00,product_question,medium,closed,email,4.0,7.7
199,68,,2025-10-30 11:00:00,refund_request,low,closed,email,2.0,10.7
200,309,,2024-07-31 16:00:00,payment_issue,low,closed,chat,3.0,10.4
201,337,,2024-05-31 06:00:00,damaged_item,medium,closed,chat,4.0,30.2
202,587,2210.0,2025-06-20 00:00:00,payment_issue,medium,closed,chat,3.0,48.8
203,541,1533.0,2024-10-12 17:00:00,refund_request,high,closed,email,2.0,7.5
204,840,2051.0,2024-02-05 08:00:00,payment_issue,low,closed,email,4.0,
205,347,,2025-03-04 03:00:00,damaged_item,high,pending,phone,,15.6
206,666,,2025-10-08 09:00:00,product_question,medium,closed,chat,5.0,39.0
207,1170,1609.0,2025-04-25 01:00:00,damaged_item,medium,open,phone,3.0,32.7
208,610,,2025-11-17 12:00:00,product_question,low,pending,email,3.0,10.1
209,639,286.0,2025-04-29 21:00:00,account_problem,low,pending,chat,3.0,16.7
210,752,3501.0,2024-09-26 09:00:00,product_question,low,closed,chat,3.0,4.0
211,544,,2024-07-22 15:00:00,refund_request,medium,pending,email,,6.7
212,939,3396.0,2024-02-03 10:00:00,refund_request,medium,closed,phone,,19.7
213,487,1380.0,2025-04-06 05:00:00,delivery_issue,medium,closed,email,4.0,
214,667,2200.0,2025-02-10 00:00:00,refund_request,high,open,email,5.0,12.6
215,732,,2024-03-29 02:00:00,product_question,medium,closed,phone,3.0,5.5
216,656,3315.0,2026-02-09 12:00:00,product_question,low,closed,email,3.0,22.3
217,828,1525.0,2025-05-11 19:00:00,payment_issue,medium,closed,email,3.0,17.8
218,1042,4026.0,2024-12-10 03:00:00,delivery_issue,low,closed,email,,6.5
219,931,1404.0,2024-07-01 18:00:00,product_question,low,closed,email,4.0,6.5
220,299,1144.0,2024-05-13 19:00:00,refund_request,medium,closed,chat,,18.2
221,145,2108.0,2025-07-19 14:00:00,delivery_issue,high,pending,phone,4.0,10.7
222,800,,2024-03-29 15:00:00,account_problem,low,closed,phone,4.0,5.8
223,328,1326.0,2025-11-16 08:00:00,delivery_issue,high,closed,chat,,
224,1067,,2025-06-16 07:00:00,refund_request,low,closed,email,,6.0
225,482,1772.0,2025-11-09 09:00:00,delivery_issue,medium,open,chat,5.0,19.4
226,967,1594.0,2025-06-07 06:00:00,refund_request,medium,open,email,4.0,5.6
227,1181,2881.0,2024-07-05 12:00:00,account_problem,high,closed,chat,4.0,8.1
228,1111,194.0,2024-01-23 15:00:00,damaged_item,medium,closed,email,2.0,30.0
229,105,1955.0,2024-01-26 01:00:00,payment_issue,medium,closed,phone,4.0,13.0
230,28,2987.0,2025-09-22 06:00:00,account_problem,low,closed,chat,4.0,13.6
231,576,130.0,2025-04-26 00:00:00,refund_request,low,closed,email,,4.5
232,455,1924.0,2025-04-08 02:00:00,payment_issue,medium,closed,chat,,8.3
233,968,1769.0,2024-10-22 14:00:00,damaged_item,medium,open,email,,
234,1186,1866.0,2024-06-28 20:00:00,product_question,high,closed,email,5.0,5.3
235,571,4124.0,2025-08-07 10:00:00,payment_issue,medium,pending,email,,7.9
236,258,3413.0,2025-09-17 07:00:00,delivery_issue,medium,closed,email,5.0,33.0
237,810,,2026-01-18 18:00:00,damaged_item,medium,open,phone,4.0,
238,634,1158.0,2024-01-31 21:00:00,refund_request,low,closed,chat,5.0,42.8
239,1055,,2024-03-28 19:00:00,product_question,medium,closed,email,5.0,
240,853,859.0,2024-03-18 21:00:00,delivery_issue,low,closed,chat,3.0,29.9
241,64,4147.0,2025-09-06 17:00:00,refund_request,medium,pending,email,4.0,10.6
242,426,160.0,2024-08-24 12:00:00,damaged_item,low,open,email,5.0,21.1
243,619,2202.0,2024-12-03 04:00:00,damaged_item,medium,closed,chat,,7.8
244,279,2122.0,2025-02-03 15:00:00,account_problem,high,closed,phone,3.0,3.1
245,368,3968.0,2024-07-08 04:00:00,payment_issue,medium,closed,email,4.0,26.3
246,488,2854.0,2024-05-29 10:00:00,payment_issue,high,closed,phone,5.0,20.0
247,381,1537.0,2025-08-03 14:00:00,refund_request,low,closed,email,5.0,5.7
248,693,3233.0,2025-12-20 02:00:00,damaged_item,low,closed,chat,,27.8
249,607,1422.0,2025-08-30 10:00:00,account_problem,medium,closed,email,4.0,
250,873,3484.0,2026-01-08 00:00:00,account_problem,medium,closed,chat,5.0,
251,951,,2024-11-27 04:00:00,refund_request,low,closed,chat,5.0,10.5
252,981,2498.0,2024-03-08 21:00:00,account_problem,low,closed,email,5.0,25.1
253,8,1103.0,2025-04-09 04:00:00,payment_issue,low,closed,chat,3.0,9.5
254,1101,715.0,2024-09-26 12:00:00,account_problem,medium,closed,email,5.0,21.2
255,842,445.0,2024-08-10 13:00:00,refund_request,low,closed,chat,5.0,13.6
256,697,4167.0,2024-03-05 12:00:00,account_problem,high,closed,chat,1.0,35.4
257,862,,2025-10-26 11:00:00,payment_issue,high,pending,chat,3.0,5.5
258,777,617.0,2025-02-26 18:00:00,refund_request,low,closed,email,5.0,15.1
259,283,1506.0,2024-07-21 12:00:00,product_question,medium,closed,chat,4.0,35.5
260,214,2847.0,2024-10-23 07:00:00,delivery_issue,low,closed,phone,,28.6
261,404,2204.0,2025-11-27 08:00:00,account_problem,low,pending,phone,4.0,
262,857,849.0,2024-06-08 13:00:00,product_question,low,closed,chat,,17.8
263,557,3846.0,2025-12-26 08:00:00,damaged_item,medium,closed,chat,2.0,15.6
264,618,1524.0,2024-05-14 20:00:00,payment_issue,medium,closed,email,5.0,6.1
265,393,3929.0,2025-06-09 02:00:00,payment_issue,medium,closed,chat,4.0,10.5
266,1181,,2024-01-29 07:00:00,account_problem,low,closed,email,2.0,7.2
267,670,3717.0,2024-04-13 01:00:00,product_question,high,closed,phone,5.0,10.1
268,1107,2993.0,2024-08-30 23:00:00,payment_issue,low,pending,chat,5.0,42.7
269,482,1686.0,2024-06-21 15:00:00,product_question,medium,closed,phone,4.0,20.7
270,661,1698.0,2024-03-30 06:00:00,refund_request,low,closed,email,4.0,12.7
271,604,1653.0,2024-08-18 02:00:00,account_problem,low,closed,chat,4.0,6.4
272,133,,2025-01-24 07:00:00,account_problem,high,closed,chat,4.0,
273,535,2853.0,2025-04-01 20:00:00,product_question,medium,pending,phone,4.0,3.8
274,433,2134.0,2024-09-05 20:00:00,account_problem,low,closed,email,4.0,15.0
275,341,,2024-11-27 09:00:00,refund_request,medium,closed,email,4.0,11.5
276,1116,,2025-08-08 04:00:00,account_problem,medium,open,email,4.0,37.2
277,1105,3261.0,2024-05-16 18:00:00,product_question,medium,open,chat,4.0,
278,699,2087.0,2025-07-18 22:00:00,account_problem,medium,pending,phone,5.0,18.4
279,622,,2024-12-20 14:00:00,account_problem,low,pending,chat,5.0,23.2
280,1156,820.0,2025-11-10 20:00:00,product_question,low,closed,email,3.0,8.7
281,757,1442.0,2024-10-27 19:00:00,account_problem,medium,closed,email,,7.8
282,660,2478.0,2024-09-11 23:00:00,product_question,medium,closed,email,4.0,9.1
283,1060,1778.0,2025-03-20 03:00:00,refund_request,low,pending,chat,3.0,4.1
284,791,2383.0,2024-03-24 13:00:00,delivery_issue,medium,closed,email,,5.3
285,653,,2024-10-06 07:00:00,account_problem,low,closed,chat,4.0,11.2
286,486,3966.0,2025-01-26 15:00:00,payment_issue,low,closed,email,,27.1
287,991,2128.0,2024-01-05 13:00:00,payment_issue,medium,closed,phone,,13.2
288,768,,2024-09-02 02:00:00,delivery_issue,low,pending,email,4.0,17.4
289,1,2479.0,2025-11-09 21:00:00,refund_request,medium,closed,email,4.0,13.3
290,288,,2025-08-31 13:00:00,refund_request,medium,closed,phone,4.0,9.4
291,559,432.0,2024-04-01 17:00:00,payment_issue,medium,pending,chat,5.0,26.8
292,217,534.0,2025-10-22 12:00:00,product_question,medium,closed,chat,5.0,
293,643,3705.0,2026-01-31 22:00:00,delivery_issue,low,pending,chat,4.0,
294,1007,2113.0,2024-09-21 00:00:00,delivery_issue,low,pending,email,4.0,
295,295,,2025-10-15 11:00:00,delivery_issue,medium,closed,email,3.0,18.7
296,928,,2024-12-08 10:00:00,damaged_item,high,open,chat,,16.4
297,890,843.0,2024-04-24 09:00:00,delivery_issue,medium,closed,phone,5.0,6.1
298,101,2228.0,2024-08-20 19:00:00,damaged_item,medium,pending,chat,4.0,
299,977,3102.0,2024-12-10 09:00:00,delivery_issue,medium,closed,email,4.0,16.3
300,1192,471.0,2024-10-28 02:00:00,payment_issue,medium,closed,email,1.0,19.3
301,723,507.0,2025-02-05 06:00:00,payment_issue,low,open,email,5.0,6.6
302,447,,2025-06-05 10:00:00,refund_request,low,closed,chat,,12.5
303,389,1525.0,2024-04-28 06:00:00,product_question,low,pending,email,4.0,5.6
304,996,3503.0,2025-06-08 06:00:00,product_question,low,closed,email,4.0,
305,416,,2025-01-02 17:00:00,payment_issue,medium,pending,email,,14.3
306,949,886.0,2025-04-22 13:00:00,refund_request,low,closed,chat,5.0,44.6
307,1179,3210.0,2024-05-31 04:00:00,payment_issue,medium,closed,chat,1.0,3.5
308,465,2210.0,2025-05-14 22:00:00,delivery_issue,high,pending,email,5.0,11.0
309,1030,1447.0,2025-05-24 03:00:00,damaged_item,medium,closed,email,3.0,6.8
310,896,,2025-01-14 06:00:00,payment_issue,medium,pending,chat,3.0,
311,711,2727.0,2024-07-18 19:00:00,damaged_item,medium,pending,chat,1.0,14.3
312,871,391.0,2025-11-12 18:00:00,account_problem,low,closed,email,3.0,28.6
313,540,1053.0,2025-07-05 13:00:00,refund_request,medium,pending,phone,4.0,17.9
314,1176,,2026-01-18 14:00:00,damaged_item,high,closed,chat,5.0,4.5
315,567,2665.0,2024-05-04 14:00:00,refund_request,medium,closed,phone,5.0,12.2
316,450,2452.0,2024-03-28 09:00:00,refund_request,low,closed,email,,
317,326,2158.0,2024-03-13 11:00:00,account_problem,medium,closed,email,1.0,19.4
318,68,,2025-08-16 12:00:00,delivery_issue,medium,closed,email,,7.1
319,293,2551.0,2025-07-17 11:00:00,damaged_item,high,closed,email,5.0,20.0
320,758,186.0,2024-06-11 23:00:00,damaged_item,high,closed,chat,2.0,12.7
321,41,3812.0,2024-07-24 11:00:00,product_question,medium,pending,chat,3.0,8.1
322,475,3116.0,2024-02-21 14:00:00,refund_request,low,closed,chat,4.0,18.8
323,1169,3618.0,2025-09-14 15:00:00,product_question,high,closed,email,3.0,16.2
324,1194,4.0,2024-01-29 12:00:00,damaged_item,medium,closed,chat,5.0,43.4
325,580,807.0,2024-01-24 15:00:00,payment_issue,high,closed,phone,5.0,13.1
326,468,,2024-10-14 13:00:00,refund_request,high,closed,email,4.0,42.4
327,557,,2024-05-01 22:00:00,refund_request,medium,closed,email,5.0,5.1
328,1155,1253.0,2024-06-04 04:00:00,payment_issue,medium,closed,phone,,21.4
329,181,2603.0,2026-02-14 22:00:00,account_problem,high,closed,chat,5.0,8.6
330,1199,1470.0,2025-12-05 11:00:00,product_question,medium,pending,phone,3.0,14.9
331,192,,2024-11-07 14:00:00,damaged_item,low,closed,email,,7.9
332,362,3652.0,2025-09-23 18:00:00,account_problem,medium,closed,phone,,48.0
333,660,3033.0,2024-05-09 07:00:00,account_problem,low,closed,phone,5.0,10.5
334,518,229.0,2025-09-19 15:00:00,damaged_item,low,closed,phone,,5.5
